window_id,source,window_score,start_s,end_s,trace,cache,local_prec,local_j30,raw_jump_ge3_frac,raw_step_p999_px,max_ncc,resolved_minus_immediate_rms_px,resolved_minus_immediate_p95_px,hyp_count,qv,con,p_saccade,along_sigma_eff
11,precision,5.881416178043839,64.05889153235063,65.05880995854896,m4_dpf_physics_aq_constant_ow6_sg75_mp_s2_tau6,m4_dpf_physics_aq_constant_ow6_sg75_mp_s2_tau6.npz,4.1558988536530945,1.5965168952699855,0.07309845242015146,73.48421816864345,0.3971155923162481,4.805753241644676,5.716255413210439,1.3048531152480363,0.5048803687095642,20.37516212463379,0.0,2.0
12,precision,5.125292234652587,63.55886385982203,64.55878228602036,baseline,m4_dpf_physics.npz,3.192926340008637,1.9750847922331296,0.11702447080018015,71.41966246837754,0.3767982293100016,,,,,,,
12,precision,5.125292234652587,63.55886385982203,64.55878228602036,resolved,m4_dpf_physics_aq_constant_sg100_mp_s2_tau6.npz,3.9263071183948575,1.9116818436615617,0.07783509123104165,67.78462597423838,0.3695285766067192,4.686953155924508,6.327449440953255,1.3329062405788363,0.5219853222370148,21.27068042755127,0.0,2.0
12,precision,5.125292234652587,63.55886385982203,64.55878228602036,immediate,m4_dpf_physics_aq_constant_sg100_mp_s2_tau6.npz::immediate,3.6648109770829698,2.208152757527799,0.12479790592039418,73.63103070275555,0.3695285766067192,0.0,0.0,1.3329062405788363,0.5219853222370148,21.27068042755127,0.0,2.0
12,precision,5.125292234652587,63.55886385982203,64.55878228602036,m4_dpf_physics_aq_constant_sg100,m4_dpf_physics_aq_constant_sg100.npz,3.4473346603409643,2.3688683499137255,0.07755954222084752,63.74528018974178,0.37049633572277796,5.150350522261603,6.9347127451599535,1.3440852092461097,0.522610604763031,21.273987770080566,0.0,2.0
12,precision,5.125292234652587,63.55886385982203,64.55878228602036,m4_dpf_physics_aq_constant_ow6_sg75_mp_s2_tau6,m4_dpf_physics_aq_constant_ow6_sg75_mp_s2_tau6.npz,3.8761716298666196,1.9665743684506864,0.07991377319270151,69.08569547659961,0.3695285766067192,4.691326951352203,6.352084948312185,1.3329062405788363,0.5219853222370148,21.27068042755127,0.0,2.0
13,precision,4.493062403283597,55.05839342683599,56.058311853034326,baseline,m4_dpf_physics.npz,2.650800378118379,1.4640497395284333,0.12474414373436434,72.17946333423839,0.40026296647357884,,,,,,,
13,precision,4.493062403283597,55.05839342683599,56.058311853034326,resolved,m4_dpf_physics_aq_constant_sg100_mp_s2_tau6.npz,3.4080263173422627,0.7673169208946584,0.08438670411985019,77.97070562788696,0.39718657433410615,5.450850489871897,6.901830521390715,1.3233253724553622,0.48453283309936523,19.03667640686035,0.0,2.0
13,precision,4.493062403283597,55.05839342683599,56.058311853034326,immediate,m4_dpf_physics_aq_constant_sg100_mp_s2_tau6.npz::immediate,2.8971648435574386,0.9394389033846515,0.12816011235955055,86.60303022897102,0.39718657433410615,0.0,0.0,1.3233253724553622,0.48453283309936523,19.03667640686035,0.0,2.0
13,precision,4.493062403283597,55.05839342683599,56.058311853034326,m4_dpf_physics_aq_constant_sg100,m4_dpf_physics_aq_constant_sg100.npz,2.5512358968168307,1.831590744650919,0.07904346801743432,75.80737968402245,0.3998266096999089,5.027149057814975,6.9782505139494875,1.3163008687700046,0.486294686794281,19.04897689819336,0.0,2.0
13,precision,4.493062403283597,55.05839342683599,56.058311853034326,m4_dpf_physics_aq_constant_ow6_sg75_mp_s2_tau6,m4_dpf_physics_aq_constant_ow6_sg75_mp_s2_tau6.npz,3.344621078148471,0.6995725118323328,0.08532303370786516,79.68850443442778,0.39718657433410615,5.3578169475552695,7.052400457921283,1.3233253724553622,0.48453283309936523,19.03667640686035,0.0,2.0
14,precision,4.38836400843592,63.808877696086334,64.80879612228466,baseline,m4_dpf_physics.npz,3.2657521634502897,2.1286943892679346,0.11642195978295564,77.76286845063582,0.3851139347166886,,,,,,,
14,precision,4.38836400843592,63.808877696086334,64.80879612228466,resolved,m4_dpf_physics_aq_constant_sg100_mp_s2_tau6.npz,3.887645605064809,1.5906746179995315,0.07674703718839396,70.58314106295614,0.37924638658384324,4.811372294102902,6.431697971475053,1.3380360721442885,0.5078718066215515,20.58011817932129,0.0,2.0
14,precision,4.38836400843592,63.808877696086334,64.80879612228466,immediate,m4_dpf_physics_aq_constant_sg100_mp_s2_tau6.npz::immediate,3.6277263317185966,1.9498839274657582,0.123334695545566,77.25681571625343,0.37924638658384324,0.0,0.0,1.3380360721442885,0.5078718066215515,20.58011817932129,0.0,2.0
14,precision,4.38836400843592,63.808877696086334,64.80879612228466,m4_dpf_physics_aq_constant_sg100,m4_dpf_physics_aq_constant_sg100.npz,3.4173389611834084,2.3688683499137255,0.07645461278907086,57.13815410171018,0.380982023058792,5.0088092483066315,7.091506136333632,1.3482106956172095,0.5089601278305054,20.59182357788086,0.0,2.0
14,precision,4.38836400843592,63.808877696086334,64.80879612228466,m4_dpf_physics_aq_constant_ow6_sg75_mp_s2_tau6,m4_dpf_physics_aq_constant_ow6_sg75_mp_s2_tau6.npz,3.8337198362127243,1.5965168952699855,0.07862689006947282,70.58314106295614,0.37924638658384324,4.930540716703565,6.3944286572178,1.3380360721442885,0.5078718066215515,20.58011817932129,0.0,2.0
15,precision,4.223428198009648,49.5580890290215,50.55800745521983,baseline,m4_dpf_physics.npz,2.360418295960931,1.0614959386153142,0.13832420010606328,91.37211330489266,0.37822513433703664,,,,,,,
15,precision,4.223428198009648,49.5580890290215,50.55800745521983,resolved,m4_dpf_physics_aq_constant_sg100_mp_s2_tau6.npz,3.1435791674319638,0.7841623773641437,0.08195211786372007,67.25439493492132,0.37532303181811616,5.950876558560613,7.783577280272894,1.3433612704014115,0.416371613740921,18.121963500976562,0.0,2.0
15,precision,4.223428198009648,49.5580890290215,50.55800745521983,immediate,m4_dpf_physics_aq_constant_sg100_mp_s2_tau6.npz::immediate,2.7657507333248237,0.6388460495876203,0.13176795580110498,86.49705320750886,0.37532303181811616,0.0,0.0,1.3433612704014115,0.416371613740921,18.121963500976562,0.0,2.0
15,precision,4.223428198009648,49.5580890290215,50.55800745521983,m4_dpf_physics_aq_constant_sg100,m4_dpf_physics_aq_constant_sg100.npz,2.6318388908037136,0.9060424639665241,0.08581130690161527,78.6489354770863,0.374870052473443,5.8119757590320695,7.415487072203169,1.34254532652702,0.4158376604318619,18.10562038421631,0.0,2.0
15,precision,4.223428198009648,49.5580890290215,50.55800745521983,m4_dpf_physics_aq_constant_ow6_sg75_mp_s2_tau6,m4_dpf_physics_aq_constant_ow6_sg75_mp_s2_tau6.npz,3.197317432511168,0.8441663800528261,0.08333333333333333,67.25439493492132,0.37532303181811616,6.067229228289278,7.81668051884668,1.3433612704014115,0.416371613740921,18.121963500976562,0.0,2.0
16,precision,4.01472754078071,1.5554324662768126,2.5553508924751416,baseline,m4_dpf_physics.npz,7.09351867945814,2.515263802251596,0.15612327656123276,80.64794744224818,0.35013505215511515,,,,,,,
16,precision,4.01472754078071,1.5554324662768126,2.5553508924751416,resolved,m4_dpf_physics_aq_constant_sg100_mp_s2_tau6.npz,7.260594908233721,3.7332006700400022,0.10164072360117796,64.39649122556217,0.33769926223379776,5.808550643347154,9.07317924200889,1.431530870238969,0.4466840922832489,18.53631019592285,0.0,2.0
16,precision,4.01472754078071,1.5554324662768126,2.5553508924751416,immediate,m4_dpf_physics_aq_constant_sg100_mp_s2_tau6.npz::immediate,7.210890707470633,3.672154044359555,0.16230542700883466,71.96283101476128,0.33769926223379776,0.0,0.0,1.431530870238969,0.4466840922832489,18.53631019592285,0.0,2.0
16,precision,4.01472754078071,1.5554324662768126,2.5553508924751416,m4_dpf_physics_aq_constant_sg100,m4_dpf_physics_aq_constant_sg100.npz,7.023145691749344,3.504477910332369,0.10186513629842181,70.23168975977681,0.3414041357366626,6.2308872886442535,9.072021198005716,1.4315729234793984,0.4473210424184799,18.536514282226562,0.0,2.0
16,precision,4.01472754078071,1.5554324662768126,2.5553508924751416,m4_dpf_physics_aq_constant_ow6_sg75_mp_s2_tau6,m4_dpf_physics_aq_constant_ow6_sg75_mp_s2_tau6.npz,7.276367447222927,3.734629468666933,0.1027345393352966,64.39649122556217,0.33769926223379776,5.7592947850596286,9.186033928495831,1.431530870238969,0.4466840922832489,18.53631019592285,0.0,2.0
